Contest,ElectionLvl,ElectionType,Grain,Year,Address,State,County,HHL50K,HH50100K,HHRent,HHMedRent,OOMedP,DEM,AsianPacIsl,Hispanic,Female,NpaReg,SqMiles,HVMean,DemReg,RepReg,HH,F,FMeanInc,FIncL50K,FInc50100K,NFMeanInc,RegVoters,REP,WRI,OVER,UNDER,under25,btwn2544,btwn4564,over65,Shape_Length,Shape_Area
U.S. Senate,Federal,General,Precinct,2018,2101 Lowe St,FL,Hillsborough,240,92,232,36,20,454,4,131,383,130,0.39,133921,454,43,392,165,65610,95,41,38641,1018,68,2,0,9,81,189,155,204,0.194164856,0.002983618
U.S. Senate,Federal,General,Precinct,2018,2101 Lowe Street,FL,Hillsborough,240,92,232,36,20,865,9,186,648,317,0.39,133921,746,151,392,165,65610,95,41,38641,1854,195,4,0,12,149,442,406,228,0.194164856,0.002983618
U.S. Senate,Federal,General,Precinct,2018,2102 Bell Shoals Rd,FL,Hillsborough,226,209,143,28,19,753,55,196,981,439,0.63,182408,617,897,608,458,87815,133,166,48579,2899,1176,4,1,14,177,478,785,524,0.194115967,0.002982242
U.S. Senate,Federal,General,Precinct,2018,2121 E 131st Ave,FL,Hillsborough,422,106,383,32,17,693,28,388,784,496,0.51,70233,840,163,554,276,38696,191,65,26222,2145,137,4,1,13,396,641,326,145,0.194263769,0.002986402
U.S. Senate,Federal,General,Precinct,2018,215 Sydney Washer Rd,FL,Hillsborough,388,263,197,39,19,2250,172,859,2818,1588,2.69,138243,1743,2026,767,548,61601,239,202,40841,8464,2699,13,0,32,644,1764,2061,927,0.194142862,0.002982999
U.S. Senate,Federal,General,Precinct,2018,2202 E Busch Blvd,FL,Hillsborough,383,107,320,39,21,1681,36,837,1871,980,0.35,89970,2006,450,514,295,42396,202,75,28120,5228,544,10,1,29,553,1178,1212,508,0.194231973,0.002985507
U.S. Senate,Federal,General,Precinct,2018,2207 W Baker St,FL,Hillsborough,335,156,257,30,19,1002,23,692,1341,785,0.87,129214,1002,664,538,385,53608,212,130,28258,3757,948,12,1,18,385,829,851,399,0.194219105,0.002985145
U.S. Senate,Federal,General,Precinct,2018,2215 Bloomingdale Ave,FL,Hillsborough,164,210,100,24,18,169,21,40,291,156,0.85,220855,134,261,648,549,108926,114,182,53517,810,320,2,0,2,59,151,233,113,0.194098308,0.002981745
U.S. Senate,Federal,General,Precinct,2018,2224 Corrine St,FL,Hillsborough,266,106,285,35,19,287,2,288,317,207,0.82,145837,316,115,449,173,70951,94,41,38295,990,163,1,0,7,91,201,218,130,0.194151189,0.002983233
U.S. Senate,Federal,General,Precinct,2018,2312 W Union St,FL,Hillsborough,231,101,230,33,19,865,4,191,685,301,0.24,201064,843,92,416,172,83474,82,46,45719,1792,95,5,0,17,209,468,351,212,0.198431257,0.002980955
U.S. Senate,Federal,General,Precinct,2018,2402 Mud Lake Rd,FL,Hillsborough,339,183,239,30,20,806,77,175,1065,480,1.34,179855,539,1052,651,498,65371,226,157,36922,3244,1448,3,0,6,241,623,791,429,0.194186892,0.002984238
U.S. Senate,Federal,General,Precinct,2018,2511 E Columbus Dr,FL,Hillsborough,238,78,205,39,20,2048,27,372,1465,657,0.51,107708,1989,224,355,165,54006,108,39,33086,4496,259,13,0,24,409,1145,889,445,0.194168547,0.002983722
